nTrial,trialType,X1,Y1,T1,X2,Y2,T2,X3,Y3,T3,X4,Y4
258,1,629,412,1,1252,434,5.572353e+01,NaN,NaN,3.912025e+02,NaN,NaN
259,4,1100,438,1,502,390,9.840321e+01,777,130,3.269119e+02,931,630
260,5,900,134,1,943,666,1.355208e+02,NaN,NaN,2.854846e+02,NaN,NaN
261,1,629,412,1,1252,334,2.120423e+01,NaN,NaN,3.450185e+02,NaN,NaN
262,1,529,312,1,1152,434,3.525205e+01,NaN,NaN,4.009506e+02,NaN,NaN
263,2,573,451,1,1080,405,1.170864e+02,813,84,3.160656e+02,957,775
264,7,781,715,1,894,62,-2.704655e+00,NaN,NaN,3.796473e+02,NaN,NaN
265,4,1100,438,1,602,290,1.078432e+01,877,30,3.237522e+02,831,630
266,6,908,170,1,904,615,1.241624e+02,495,468,3.132555e+02,1192,407
267,2,573,351,1,1080,305,3.826738e+01,913,84,3.162306e+02,957,775
268,2,473,351,1,1180,405,4.415156e+01,813,-16,3.396944e+02,857,775
269,6,908,170,1,804,615,8.819656e+01,595,368,2.942073e+02,1092,407
270,4,1100,438,1,502,290,8.950670e+01,777,30,4.022141e+02,831,630
271,1,629,312,1,1152,334,1.447960e+02,NaN,NaN,3.915480e+02,NaN,NaN
272,5,900,134,1,843,666,8.178010e+01,NaN,NaN,2.759877e+02,NaN,NaN
273,4,1200,438,1,502,290,4.905246e+01,777,30,3.793756e+02,831,630
274,1,629,312,1,1252,434,-8.786206e+00,NaN,NaN,2.939551e+02,NaN,NaN
275,2,473,351,1,1180,305,5.663565e+01,813,-16,3.615541e+02,957,775
276,2,573,351,1,1080,305,1.484242e+02,813,-16,3.323722e+02,857,775
277,5,900,134,1,943,666,1.547395e+02,NaN,NaN,3.227666e+02,NaN,NaN
278,6,908,70,1,804,615,2.492900e+01,495,368,4.045283e+02,1192,407
279,5,800,34,1,943,666,7.919002e+01,NaN,NaN,4.174820e+02,NaN,NaN
280,3,1075,478,1,535,315,4.808587e+01,NaN,NaN,3.359394e+02,NaN,NaN
281,5,900,134,1,843,766,1.305160e+01,NaN,NaN,3.676762e+02,NaN,NaN
282,5,900,34,1,843,766,4.866763e+01,NaN,NaN,2.890704e+02,NaN,NaN
283,6,908,70,1,804,615,1.400456e+02,495,468,3.331733e+02,1092,407
284,3,1175,478,1,535,315,1.095145e+02,NaN,NaN,2.949024e+02,NaN,NaN
